# Korea Ownership Ledger — officer/major-shareholder rows — SeoulMarkets (https://seoulmarkets.com/data/ownership)
# 🔓 THIS IS A FREE SAMPLE: the 100 most recently filed rows.
#   The full ledger covers 32,535 rows. Same columns, same method.
#   The full file and the query API are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,filing_id,filed_on,person_name,is_registered_officer,title,relationship,shares_held,shares_change,stake_pct,stake_change_pct
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000266,2026-09-08,조상래,registered,사내이사,-,20000,-20000,0.12,-0.06
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000290,2026-09-08,홍동기,registered,감사,-,8300,-8300,0.05,-0.01
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000323,2026-09-08,이창섭,registered,사내이사,-,4196,-4197,0.03,0
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000295,2026-09-08,김희연,unregistered,이사,-,24550,-25450,0.15,-0.09
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000309,2026-09-08,조성윤,unregistered,이사,-,18502,-18502,0.12,-0.06
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000314,2026-09-08,박성규,registered,이사,-,3473,-3474,0.02,-0.01
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000258,2026-09-08,드림캐슬종합건설,,-,10%이상주주,1859364,-1859364,11.61,-2.03
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000293,2026-09-08,차발동,registered,사내이사,-,8350,-8350,0.05,-0.01
098460,KohYoungTechnologyInc.,(주)고영테크놀러지,20260908000415,2026-09-08,고경철,unregistered,이사,-,147749,147749,0.22,0.22
098460,KohYoungTechnologyInc.,(주)고영테크놀러지,20260908000428,2026-09-08,신기섭,unregistered,이사,-,32448,32448,0.05,0.05
225220,GENOLUTION INC.,(주)제놀루션,20260908000335,2026-09-08,김기옥,registered,대표이사,사실상지배주주,3467177,28939,18.07,0.15
001720,"SHINYOUNG SECURITIES CO.,LTD",신영증권(주),20260908000288,2026-09-08,박소연,unregistered,이사,-,590,590,0,0
001720,"SHINYOUNG SECURITIES CO.,LTD",신영증권(주),20260908000294,2026-09-08,박용훈,unregistered,이사,-,510,510,0,0
032860,"The Lamy Co., Ltd.",더라미(주),20260908000362,2026-09-08,바이오스마트,,-,10%이상주주,2285714,-9142857,28.29,-0.74
032860,"The Lamy Co., Ltd.",더라미(주),20260908000338,2026-09-08,옴니시스템,,-,10%이상주주,2000000,-8000000,24.76,-0.64
257720,"SILICON 2 Co.,Ltd.",주식회사 실리콘투,20260908000316,2026-09-08,길남영,unregistered,상무이사,-,50000,-20772,0.08,-0.03
332290,"NOUSBO CO., LTD",(주)누보,20260908000393,2026-09-08,김신덕,unregistered,본부장,-,3209,-12839,0.04,0
100790,"Mirae Asset Venture Investment Co.,Ltd.",미래에셋벤처투자 주식회사,20260908000426,2026-09-08,미래에셋증권,,-,10%이상주주,29747599,0,56,0
024850,"HLB innoVation Co.,Ltd.",에이치엘비이노베이션(주),20260908000416,2026-09-08,진양곤,registered,사내이사,-,255375,20400,0.8,0.07
084180,"Soosung Webtoon co., Ltd.",수성웹툰 주식회사,20260908000067,2026-09-08,이원희,registered,전무,-,5000,5000,0.03,0.03
084180,"Soosung Webtoon co., Ltd.",수성웹툰 주식회사,20260908000066,2026-09-08,홍탁완,registered,대표이사,-,25000,25000,0.14,0.14
252500,SEWHA P&C INC.,(주)세화피앤씨,20260907000082,2026-09-07,신재훈,unregistered,이사,-,7584,-30339,0.09,0
252500,SEWHA P&C INC.,(주)세화피앤씨,20260907000084,2026-09-07,정상희,unregistered,이사,-,28710,-114842,0.35,0
010400,"WOOJIN I&S Co.,Ltd",(주)우진아이엔에스,20260907000049,2026-09-07,홍경모,registered,대표이사,10%이상주주,1630730,-75000,21.4,-0.98
101680,"HNK MACHINE TOOL CO.,LTD.",한국정밀기계(주),20260907000159,2026-09-07,오현경,registered,이사,-,156320,1170,1.86,0.01
101680,"HNK MACHINE TOOL CO.,LTD.",한국정밀기계(주),20260907000164,2026-09-07,하만기,registered,이사,-,42911,14797,0.51,0.18
113810,"Dgenx Co., Ltd.",디젠스(주),20260907000233,2026-09-07,디에이치코리아,,-,사실상지배주주,2393295,114310,36.68,1.76
251280,"AngioLab, Inc.",(주)안지오랩,20260907000127,2026-09-07,김민영,registered,대표이사,사실상지배주주,854160,5079,20.37,0.12
086040,"BiotoxtechCo.,Ltd.",(주)바이오톡스텍,20260907000152,2026-09-07,강종구,registered,대표이사,사실상지배주주,2077631,8195,13.02,0.05
036620,"GAMSUNG Corporation Co., Ltd.",감성코퍼레이션(주),20260907000118,2026-09-07,김호선,registered,대표이사,10%이상주주,22620000,209000,25.17,0.23
054090,SAMJIN LND COMPANY LIMITED,(주)삼진엘앤디,20260907000072,2026-09-07,이명종,registered,대표이사 사장,사실상지배주주,2427367,15000,9.73,0.06
075970,"DONGKUK REFRACTORIES & STEEL CO., LTD.",(주)동국알앤에스,20260907000178,2026-09-07,김영환,registered,전무,-,651,551,0,0
084870,"TBH GLOBAL CO.,LTD",(주)티비에이치글로벌,20260907000044,2026-09-07,금강레저산업,,-,10%이상주주,2213822,4000,10.82,0.02
