# Korea Ownership Ledger — substantial-shareholding filings — SeoulMarkets (https://seoulmarkets.com/data/ownership)
# 🔓 THIS IS A FREE SAMPLE: the 100 most recently filed rows.
#   The full ledger covers 21,785 filings. Same columns, same method.
#   The full file and the query API are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,filing_id,filed_on,filing_kind,holder_name,shares_held,shares_change,stake_pct,stake_change_pct,related_party_shares,related_party_pct,reason_raw_ko
052900,"KX HITECH CO.,LTD",(주)케이엑스하이텍,20260908000267,2026-09-08,abbreviated,인터레이스자산운용,8702531,8702531,10.19,10.19,,,단순투자목적의 매매
048410,"HYUNDAI BIOSCIENCE CO., LTD.",현대바이오사이언스(주),20260908000279,2026-09-08,general,씨앤팜,11632282,0,12.05,0,7728087,8.05,"- 주식담보계약 신규체결
- 주식담보계약 변경"
218410,RFHIC CORPORATION,알에프에이치아이씨(주),20260908000339,2026-09-08,abbreviated,MORGANSTANLEY&COINTLPLC,381806,-964925,1.44,-3.63,,,"자발적 보고: 직전보고서 기준으로 변동 비율이 1% 미만으로 변동보고의의무대상은 아니나, 대량보유상황보고의 한도 기준(5%)보다 하락에 따른 자발적 변동 보고"
045100,"HANYANG ENG CO.,LTD",한양이엔지(주),20260908000083,2026-09-08,abbreviated,FILLIMITED,875833,875833,5,5,,,단순 주식 취득에 의한 신규 보고
086520,"ECOPRO CO.,LTD",(주)에코프로,20260908000124,2026-09-08,general,이동채,34664519,0,25.53,0,8017846,5.91,주식담보대출 신규 및 조건변경
275630,SSR Inc.,(주)에스에스알,20260908000380,2026-09-08,abbreviated,정진석,347269,-106642,6.61,-2.03,,,주식수 변동에 따른 보고
002680,Hantop Inc.,(주)한탑,20260908000289,2026-09-08,general,류원기,4192386,1292671,51.56,9.16,1430641,17.59,"특별관계자의 제3자배정 유상증자에 따른 신주취득 및
특별관계자의  주식담보대출 질권설정 주식수 변경"
058450,"HANJOO ART Co.,LTD.",한주에이알티(주),20260908000253,2026-09-08,abbreviated,신승욱,273956,273956,5.07,5.07,,,장내매수
352700,"CNTUS Co., Ltd",주식회사 씨앤투스,20260908000076,2026-09-08,general,하춘욱,12055319,34514,49.33,0.14,,,특수관계인 지분 추가 취득
257370,"People & Technology Ms, Inc.",(주)피엔티 엠에스,20260908000414,2026-09-08,abbreviated,수성자산운용,756077,756077,5.7,5.7,,,사모3CB 행사가액 조정에 따른 보유비율 5% 이상 보유
090410,"DUKSHINEPC CO., LTD.",(주)덕신이피씨,20260908000333,2026-09-08,general,김명환,3030770,-12123080,32.88,0,,,주식병합에 따른 주식수 및 발행주식총수 변동
204620,"Global Tax Free Co., Ltd.",글로벌텍스프리(주),20260908000146,2026-09-08,abbreviated,MiriCapitalManagementLLC,5922169,1824000,8.43,2.6,,,일반투자목적으로 장내에서 발행회사 주식 매수
128940,"Hanmi Pharm. Co., Ltd.",한미약품(주),20260908000370,2026-09-08,general,한미사이언스,6348167,-68199,49.55,-0.53,1759522,13.73,- 교환사채권 행사에 따른 보유주식 수 변동
329180,"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",에이치디현대중공업(주),20260908000302,2026-09-08,abbreviated,국민연금공단,8417158,1862656,8.02,0.64,,,단순투자목적에서 일반투자목적으로 보유목적 변경
453450,"Gridwiz Co.,Ltd",(주)그리드위즈,20260908000342,2026-09-08,abbreviated,SBI인베스트먼트,708415,708415,8.19,8.19,,,전환사채 인수
331380,"FOCUS AI Co., Ltd.",(주)포커스에이아이,20260908000285,2026-09-08,abbreviated,넥스플랜,3047544,367454,8.34,1.01,,,장내매수로 인한 1% 이상 변동
198440,"KANGDONG C&L co., Ltd",(주)강동씨앤엘,20260908000420,2026-09-08,general,강대완,37425569,-4389663,61.42,-7.21,,,장내매매
286750,"NanoSilikhan Advanced Materials Co., Ltd.",(주)나노실리칸첨단소재,20260908000365,2026-09-08,abbreviated,엠젠솔루션,814198,-1214199,5.08,-2.36,,,보유주식 수 변동
098460,KohYoungTechnologyInc.,(주)고영테크놀러지,20260908000138,2026-09-08,abbreviated,J.P.MORGANSECURITIESPLC,3350549,-135954,4.91,-0.2,,,특별관계자 변동
098460,KohYoungTechnologyInc.,(주)고영테크놀러지,20260908000412,2026-09-08,general,고영홀딩스,14273629,180197,20.93,0.27,3134435,4.6,특별관계자 추가
032860,"The Lamy Co., Ltd.",더라미(주),20260908000364,2026-09-08,general,바이오스마트,4423265,-17460603,54.75,0.58,,,"1. 주식 병합에 따른 발행주식 총수 및 보유 주식수 변동
2. 특별관계자의 장내매수"
247540,"ECOPRO BM CO.,LTD.",(주)에코프로비엠,20260908000125,2026-09-08,general,에코프로,44248514,0,45.23,0,11437264,11.69,만기연장
