name,kind,en_wikipedia_views_30d,daily_avg,peak_day,peak_day_views,views_last_7d,last7_vs_daily_avg
Park Ji-yoon,individual,2736,91,20260714,300,594,0.76
Yang Dong-geun,individual,3526,118,20260802,154,890,1.22
Yi Seok,individual,4913,164,20260805,469,1748,1.92
Choi Min-soo,individual,2974,99,20260726,159,748,1.28
Hwangbo,individual,717,24,20260802,38,176,1.13
Shin Seung-hun,individual,692,23,20260728,35,169,1.02
Kim Sung-kyu,individual,2191,73,20260712,98,461,0.86
Bae Seul-ki,individual,554,18,20260716,27,146,1.15
Narsha,individual,1266,42,20260714,56,278,0.8
Jee Seok-jin,individual,3460,115,20260802,151,912,1.16
Son Ho-young,individual,2408,80,20260711,329,384,0.4
J-Min,individual,639,21,20260711,36,135,0.78
Kim Hyun-joong,individual,13126,438,20260710,593,2811,0.77
Leeteuk,individual,5469,182,20260715,253,1119,0.85
MC Mong,individual,1678,56,20260805,232,633,1.88
Chae Jung-an,individual,3727,124,20260725,175,847,0.95
Eugene (actress),individual,7944,265,20260726,354,1938,1.16
Ock Joo-hyun,individual,1387,46,20260708,76,313,0.85
