name,kind,en_wikipedia_views_30d,daily_avg,peak_day,peak_day_views,views_last_7d,last7_vs_daily_avg
Sumin (musician),individual,858,29,20260803,72,283,1.59
"Kim Dong-hyun (singer, born 1998)",individual,629,21,20260722,38,173,1.17
Roh Tae-hyun,individual,397,13,20260723,25,109,1.58
Kwon Hyun-bin,individual,624,21,20260722,30,145,1.07
Kwon Eun-bin,individual,3352,112,20260720,230,664,0.97
Choi Bo-min (entertainer),individual,2174,72,20260728,138,668,1.49
Hui (singer),individual,2114,70,20260731,116,596,1.61
LEW (Rapper),individual,11,1,20260806,2,6,3
"Paul Kim (musician, born 1988)",individual,1012,34,20260728,62,221,0.84
Punchnello,individual,334,11,20260723,20,74,0.95
Song Won-seok,individual,1805,60,20260716,79,411,0.91
Kwak Soon-ok,individual,16,1,20260729,3,6,1.5
Kim Dong-han,individual,583,19,20260802,29,148,1.17
Jinho,individual,1100,37,20260728,53,263,1.38
J.Fla,individual,648,22,20260708,35,125,0.82
Hongseok,individual,2120,71,20260728,214,537,2.58
Ji Han-sol,individual,11,1,20260714,2,3,0.75
Dawn (rapper),individual,6437,215,20260726,442,1937,2.22
Woo Won-jae,individual,699,23,20260727,42,160,0.98
Kang In-soo,individual,435,15,20260719,31,119,1.32
Hangzoo,individual,260,9,20260722,19,62,0.98
Lee Gun-woo,individual,298,10,20260714,18,78,1.07
Michelle Zauner,individual,25688,856,20260722,1640,4104,0.98
Jo Woo-chan,individual,2848,95,20260804,110,680,1.04
"Car, the Garden",individual,13699,457,20260715,706,3116,0.92
Jisoo,individual,78272,2609,20260731,8972,29037,2.29
"Minseo (singer, born 1996)",individual,483,16,20260727,27,115,0.95
Lee Na-eun,individual,2782,93,20260801,125,704,1.07
I.M,individual,6218,207,20260729,246,1559,1.07
Jaemin,individual,2553,85,20260708,135,517,0.7
Wonho,individual,9119,304,20260722,757,2184,1.7
Choi Yoo-jung (singer),individual,7829,261,20260708,481,1619,0.69
Han Hye-ri,individual,462,15,20260714,26,103,0.99
Kim Do-yeon (singer),individual,6109,204,20260723,300,1255,0.86
Lee Hae-in (singer),individual,1343,45,20260727,113,296,0.9
Yoo Yeon-jung,individual,3880,129,20260803,314,1082,1.09
Ki Hui-hyeon,individual,818,27,20260708,68,162,0.7
Nada (South Korean musician),individual,372,12,20260725,25,87,1.28
Chanmina,individual,6236,208,20260806,374,1431,0.98
Jisung,individual,2995,100,20260708,182,552,0.6
Rosé (singer),individual,74280,2476,20260731,3539,19890,1.21
Jo Aram,individual,2330,78,20260804,185,859,1.7
Shin Yeon-suh,individual,394,13,20260719,38,99,1.18
Giant Pink,individual,308,10,20260804,20,83,1.48
Lee Geon,individual,3,0,20260726,2,3,1.5
Xiyeon,individual,1034,34,20260725,48,236,1.01
Suran (singer),individual,911,30,20260717,45,187,0.9
Punch (singer),individual,1398,47,20260802,72,323,1.01
Seola (singer),individual,1457,49,20260729,79,372,1.19
I (singer),individual,291,10,20260710,18,79,1.1
Hyungwon,individual,2504,83,20260727,162,497,0.94
Taeil (singer),individual,7798,260,20260708,499,1827,0.88
Jeon Ji-woo,individual,3102,103,20260728,230,932,1.11
Choi Yu-jin (singer),individual,3658,122,20260721,334,698,1.16
Kim Woo-seok (singer),individual,3020,101,20260804,133,778,1.1
Han Seung-woo,individual,1903,63,20260712,131,376,0.69
Jo Yuri,individual,5124,171,20260728,226,1186,0.97
Miyeon,individual,12278,409,20260731,571,2881,0.91
Heejin,individual,2819,94,20260724,147,663,1.05
Bong Jae-hyun,individual,1726,58,20260723,82,383,0.88
Cha In-ha,individual,2542,85,20260729,117,610,1.23
Jeon Jong-hyuk,individual,16,1,20260708,2,3,0.5
Jeon Mi-do,individual,6441,215,20260803,316,1765,1.31
Kang Min-hee,individual,104,3,20260730,10,28,1.22
Lee Chae-yeon,individual,6563,219,20260712,282,1503,0.86
Jang Won-young,individual,32358,1079,20260727,4121,7421,1.29
Yoon San-ha,individual,2365,79,20260719,109,551,0.98
Kwon Eun-bi,individual,10374,346,20260802,439,2641,1.17
Kim Chaewon,individual,24536,818,20260801,1147,6110,0.97
Kim Min-ju,individual,11013,367,20260728,485,2548,1.04
Kang Hye-won,individual,6140,205,20260728,256,1445,0.99
Y:SY,individual,1970,66,20260712,149,443,0.94
JooE,individual,1264,42,20260728,58,293,0.97
Johnny Suh,individual,97,3,20260715,10,22,1.05
Kanto (rapper),individual,166,6,20260728,18,35,1.06
MJ (South Korean singer),individual,1630,54,20260715,82,390,1.05
Dalchong,individual,95,3,20260709,10,11,0.31
Huh Ji-won,individual,932,31,20260805,235,458,9.96
Choerry,individual,1972,66,20260724,112,470,1.2
Haseul,individual,2237,75,20260724,178,519,1.12
Choi Byung-chan,individual,2565,86,20260723,110,660,1.18
DPR Ian,individual,5970,199,20260726,291,1282,0.9
Hyunjin (Stray Kids singer),individual,19476,649,20260726,1003,4577,1.04
Jinsoul,individual,1919,64,20260728,96,443,1.13
Lee Jun-young,individual,31600,1053,20260710,1636,5575,0.57
Lee Eui-jin,individual,301,10,20260708,73,34,0.23
Lee Lu-da,individual,358,12,20260709,23,83,0.86
Park Seo-ham,individual,5012,167,20260729,444,1462,1.74
Jeon Jong-seo,individual,18611,620,20260801,998,5087,1.17
Jang Gyu-ri,individual,9952,332,20260716,545,2286,1.2
Jvcki Wai,individual,432,14,20260802,32,114,1.21
Holland (singer),individual,2057,69,20260804,103,598,1.33
Jero (South Korean singer),individual,172,6,20260710,13,39,0.81
An Yu-jin,individual,17707,590,20260801,1244,6181,1.98
Choi Ye-na,individual,17942,598,20260802,1442,7411,2.02
Yongzoo,individual,46,2,20260710,5,12,0.92
Hyunjin (Loona singer),individual,3089,103,20260724,140,674,0.91
Hyeju,individual,3359,112,20260803,313,915,1.11
Lee Know,individual,14766,492,20260727,794,3692,1.13
Nafla,individual,421,14,20260730,25,88,0.98
Yves (singer),individual,6468,216,20260723,368,1308,0.86
I.N,individual,12192,406,20260726,592,2837,0.94
Yang Joon-il,individual,113,4,20260715,15,24,1.04
Yang Yeon-je,individual,197,7,20260720,13,39,0.78
Shaun (musician),individual,1444,48,20260721,68,296,0.91
Seungmin,individual,10989,366,20260726,604,2860,1.21
Yoo Hwe-seung,individual,1200,40,20260710,63,276,0.87
Choi Yu-ju,individual,565,19,20260806,34,167,1.61
Chaeryeong,individual,6899,230,20260723,276,1456,0.85
Jungwoo,individual,2127,71,20260806,132,572,1.18
Lia (South Korean singer),individual,5807,194,20260721,450,1176,0.86
Ryujin (rapper),individual,9359,312,20260708,543,1506,0.56
"Yuna (singer, born 2003)",individual,12759,425,20260805,1049,4185,1.42
Soojin,individual,5895,197,20260708,270,1380,0.83
Changbin,individual,10843,361,20260726,634,2755,1.18
Han (musician),individual,14742,491,20260727,725,3518,1.11
Ash Island (rapper),individual,3793,126,20260726,213,804,0.88
Felix (rapper),individual,34109,1137,20260806,2031,8384,1.18
Hur Hyun-jun,individual,1920,64,20260806,647,875,3.26
Jinjin,individual,1268,42,20260725,60,302,1.06
Yeji (singer),individual,6807,227,20260721,311,1426,0.84
Bora (singer),individual,720,24,20260803,35,198,1.1
Rocky (singer),individual,2144,71,20260804,94,533,1.07
Kim Woojin,individual,14498,483,20260726,748,3508,1.13
Sori (singer),individual,1028,34,20260712,51,244,0.94
HueningKai,individual,7802,260,20260722,397,2343,7.76
Kevin Moon (singer),individual,74,2,20260728,7,16,1.78
Kim Do-ah,individual,835,28,20260713,46,144,0.6
Woody (singer),individual,233,8,20260721,20,54,1.1
Taehyun (singer),individual,5756,192,20260711,230,1357,0.97
Kim Si-hyeon,individual,1698,57,20260805,169,652,2.3
Wooseok,individual,1174,39,20260727,76,269,1.19
Kino (singer),individual,1308,44,20260708,104,245,0.75
Beomgyu,individual,6211,207,20260805,266,1489,1.17
Yeonjun,individual,27204,907,20260805,8475,13893,3.13
Park Moon-young,individual,71,2,20260712,11,18,0.86
Soobin (singer),individual,8471,282,20260711,363,1847,0.87
Yeo One,individual,619,21,20260722,43,146,1.82
Kim Chae-yeon (singer),individual,1367,46,20260806,127,446,1.77
Jang Dae-hyeon,individual,330,11,20260716,17,71,1.13
Taeha,individual,18,1,20260722,3,4,2
Shin Jee-won,individual,896,30,20260709,118,153,0.41
Kim Tae-rin,individual,285,10,20260804,24,82,1.37
Peggy Gou,individual,48898,1630,20260728,6404,12343,2.29
Rothy,individual,418,14,20260708,35,100,0.79
Lee Jin-hyuk,individual,1967,66,20260726,432,390,1.73
Hwiyoung,individual,789,26,20260726,38,218,1.33
Kim Youngbin,individual,581,19,20260712,32,159,1.31
Lee Ju-eun,individual,2079,69,20260727,169,439,1.06
Sungjin,individual,1460,49,20260713,78,372,1.1
Bibi (singer),individual,14642,488,20260726,782,3355,1.11
Yoyomi,individual,580,19,20260805,31,166,1.37
Dowoon,individual,1266,42,20260806,73,378,1.49
Kim Yo-han,individual,4974,166,20260713,223,1166,0.98
"Park Soo-jin (singer, born 1995)",individual,90,3,20260712,13,16,0.52
I'll (singer),individual,2504,83,20260713,108,566,0.88
Lee Eun-sang (singer),individual,817,27,20260712,40,185,0.92
Dongpyo,individual,1838,61,20260802,176,531,1.26
Wonpil,individual,1594,53,20260727,82,401,1.15
Leellamarz,individual,261,9,20260723,19,59,1.02
Hera Hyesang Park,individual,577,19,20260804,79,245,1.91
Jo Mingyu,individual,2624,87,20260725,121,664,1.54
Colde,individual,808,27,20260724,45,201,1.11
ZZONE,individual,2127,71,20260720,151,554,1.23
Son Woo-hyeon,individual,1561,52,20260802,78,400,1.09
Lee Jae-yoon (singer),individual,484,16,20260723,38,130,1.31
Hynn,individual,739,25,20260731,41,216,1.37
Jun.Q,individual,1077,36,20260802,73,356,1.55
Kim Jae-yong,individual,770,26,20260806,35,177,1.02
Kim Min-kyu (entertainer),individual,3205,107,20260806,279,1217,1.59
Loopy (rapper),individual,343,11,20260711,25,65,0.62
Bassagong,individual,103,3,20260724,7,30,2.73
Yoo Je-yoon,individual,420,14,20260714,26,77,0.67
Lee Young-ji,individual,12395,413,20260801,629,3613,1.39
Choi Jae-rim,individual,1793,60,20260720,177,342,2.76
Ha Hyun-sang,individual,578,19,20260721,36,121,1
Lee Sae-on,individual,675,23,20260725,77,139,1.09
Gaho,individual,869,29,20260726,41,207,0.97
Sogumm,individual,633,21,20260723,41,109,0.85
Chae Bo-hun,individual,87,3,20260730,8,15,0.63
Kangmin Justin Kim,individual,212,7,20260722,22,29,0.97
Jeong Dong-won,individual,404,13,20260715,24,90,1
Hongjoong,individual,14678,489,20260711,588,3451,0.93
Jeong Yun-ho,individual,13256,442,20260708,1197,2730,0.61
Jongho,individual,9824,327,20260709,405,2275,0.88
Seonghwa,individual,5355,179,20260729,512,2936,163.11
Shin Jeong-you,individual,363,12,20260725,22,81,0.98
Shin Jun-seop,individual,933,31,20260727,53,233,1.31
Big Naughty,individual,1132,38,20260712,56,266,0.91
Kim Ximya,individual,467,16,20260727,30,92,1.01
San (singer),individual,54600,1820,20260710,2686,10974,0.67
Mingi (rapper),individual,244,122,20260806,215,244,1
Winter (singer),individual,21302,710,20260803,2280,7287,1.7
Twlv,individual,126,4,20260727,11,28,1.75
Leia (singer),individual,381,13,20260709,21,80,0.76
Karina (South Korean singer),individual,30642,1021,20260803,3006,9799,1.5
Jihoon,individual,1785,60,20260727,89,392,0.94
So Jung hwan,individual,17,1,20260717,3,5,5
Heyoon Jeong,individual,1013,34,20260723,62,187,0.87
Sungchan,individual,4248,142,20260709,484,799,0.52
Youra (singer),individual,526,18,20260709,34,103,0.73
Lee Tae-vin,individual,582,19,20260727,33,133,1.21
Rei Ami,individual,22388,746,20260727,3848,4161,1.3
Audrey Nuna,individual,17441,581,20260716,771,4191,1.07
Meenoi,individual,490,16,20260715,33,92,0.77
Jukjae,individual,576,19,20260722,114,110,1.49
Demian (singer),individual,1455,49,20260712,66,258,0.67
Choi Young-joon,individual,3878,129,20260723,152,953,1.15
Kim Ah-ra,individual,348,12,20260804,22,91,0.96
Wonstein,individual,1076,36,20260718,68,275,1.23
Yunhway,individual,127,4,20260802,10,36,1.2
Heeseung,individual,25206,840,20260712,1320,4971,0.64
Sim Jae-yun,individual,42,2,20260714,5,8,0.67
Sunoo,individual,1084,36,20260806,406,887,16.74
Jeong Jin-hwan,individual,445,15,20260803,31,116,1.12
Bae Su-min,individual,5,0,20260716,1,3,1.5
"J (singer, born 2004)",individual,8,0,20260720,1,4,4
Lim Young-woong,individual,2913,97,20260716,240,622,1.05
Lee Chan-won,individual,903,30,20260725,45,216,1.21
AleXa,individual,3311,110,20260728,170,680,0.87
Bang Jae-min,individual,257,9,20260724,17,51,0.85
Sin Ye-young,individual,117,4,20260709,8,15,0.39
Song I-han,individual,85,3,20260803,8,39,3.55
KyoungSeo,individual,258,9,20260721,16,49,0.84
Sehyeon,individual,7,1,20260718,2,4,1.33
Swan (singer),individual,633,21,20260708,35,124,0.64
Lee Seung-yoon,individual,730,24,20260725,45,163,0.9
Kim Chae-hyun,individual,12,1,20260708,2,5,1
Lee Mu-jin,individual,2200,73,20260804,99,543,1.06
Haewon (singer),individual,1689,56,20260731,155,904,100.44
Leeseo,individual,7921,264,20260727,507,2038,1.59
Adora (singer),individual,924,31,20260708,61,231,0.91
DeVita (singer),individual,379,13,20260729,23,71,0.8
Ko Eun-sung,individual,740,25,20260725,44,189,1.14
Kim Da-yeon,individual,9,1,20260801,3,5,1.67
Seo Young-eun,individual,31,1,20260712,7,6,0.6
Seori,individual,1007,34,20260801,52,269,1.02
Jini (singer),individual,4927,164,20260730,316,1102,1.06
Kyujin (singer),individual,59,2,20260727,6,21,3
Peakboy,individual,1582,53,20260727,89,380,1.05
Choi Jung-hoon,individual,3091,103,20260712,132,731,0.95
Liz (South Korean singer),individual,10661,355,20260727,629,2555,1.29
Gaeul (singer),individual,7177,239,20260722,478,1876,1.75
Danielle (singer),individual,31499,1050,20260722,4840,4754,0.99
Kang Hyung-ho,individual,2139,71,20260722,122,548,1.61
Chowon (singer),individual,4,0,20260724,1,3,3
Kang Yu-chan,individual,803,27,20260729,43,164,0.87
Joo Hyun-young,individual,4354,145,20260801,254,1389,1.6
Myung Hyung-seo,individual,41,2,20260714,5,8,0.67
"Nana (entertainer, born 2001)",individual,1270,42,20260729,80,267,1.02
Ahn Byeong-woong,individual,69,2,20260722,7,19,2.38
Isaac Hong,individual,861,29,20260714,44,179,0.72
Lee Ju-sun,individual,115,4,20260710,7,31,1.07
Wooyeon,individual,671,22,20260730,34,141,0.93
Angela Seo,individual,2772,92,20260726,142,558,0.88
Giseok,individual,8,0,20260711,1,0,0
Kim Jong-hyeong,individual,1,0,20260708,1,1,1
Kyoungyoon,individual,170,6,20260714,15,37,0.82
Park Jae-chan,individual,1905,64,20260731,100,527,1.32
Hong Eunchae,individual,13550,452,20260712,553,2940,0.83
Kim Garam,individual,116,4,20260712,8,25,0.96
"Minseo (singer, born 2004)",individual,236,8,20260713,21,29,0.44
Choi Yu-ree,individual,1841,61,20260712,96,466,0.9
Jonghyeong,individual,164,5,20260714,10,39,1.15
Kim Ji-woong,individual,2842,95,20260728,198,611,1
Jung Eui-jae,individual,833,28,20260719,43,173,0.8
Haerin,individual,11566,386,20260722,1097,1937,0.93
Hyein,individual,11316,377,20260722,1183,1874,0.9
Minji (singer),individual,15596,520,20260722,1545,2535,0.88
Park Ji-hyeon,individual,1613,54,20260802,108,546,1.83
Yoo Hee-jae,individual,233,8,20260803,14,70,1.63
Lee Jong-hee,individual,14,1,20260715,3,4,0.8
Sung Han-bin,individual,2855,95,20260713,130,653,0.95
Han Yu-jin,individual,3449,115,20260711,155,792,0.89
Kim Tae-rae,individual,41,2,20260711,3,9,0.82
Dvwn,individual,374,12,20260710,20,92,0.94
Han Sara,individual,154,15,20260728,48,76,0.61
Bak Joo-hyo,individual,38,1,20260727,4,8,1
Giuk,individual,287,10,20260709,19,57,0.79
Zior Park,individual,490,16,20260804,34,141,1.25
Jay Chang,individual,2851,95,20260730,141,711,1.25
London Thor,individual,6796,227,20260713,376,1387,0.78
Bae Na-ra,individual,13126,438,20260717,1560,2277,0.98
Zion Hwang,individual,1086,36,20260727,328,120,0.49
Eunseok,individual,17,1,20260724,2,6,3
Bailey Sok,individual,5107,170,20260730,231,1180,1
Rami (BabyMonster),individual,6,0,20260804,2,4,
Kim Yoo-yeon (singer),individual,1734,58,20260711,73,365,0.81
Yoon Seo-yeon,individual,979,33,20260806,68,265,1.27
Minju (Illit member),individual,151,5,20260721,10,34,1
Wonhee,individual,8719,291,20260727,685,4118,56.41
Yunah,individual,238,8,20260723,28,54,1.26
Ella Gross,individual,18781,626,20260717,898,3902,0.75
Gyubin,individual,1548,52,20260714,69,364,0.99
Lee Ji-woo,individual,723,24,20260720,37,174,1.12
Park Je-up,individual,195,7,20260719,11,40,1.05
Dohoon,individual,59,2,20260724,7,12,0.8
Lee Leo,individual,2630,88,20260713,122,584,0.9
Belle (singer),individual,3851,128,20260804,317,1231,1.79
Eden (Korean musician),individual,1141,38,20260708,51,233,0.77
Airy (musician),individual,36,1,20260723,6,3,0.43
Seo Da-hyun,individual,488,16,20260716,24,106,0.97
Haneul (singer),individual,5,0,20260712,1,2,1
Julie (rapper),individual,14,1,20260722,3,5,1.25
Seunghan,individual,4240,141,20260709,230,1114,1.11
Bain (singer),individual,350,17,20260719,36,101,0.75
Yuha,individual,20,1,20260709,2,4,0.5
Park Hye Jin (music producer),individual,419,14,20260723,32,97,1.21
Choi Ji-woo (singer),individual,85,3,20260727,15,16,1.07
Leesol,individual,10,0,20260714,2,4,1
Annie Moon,individual,8640,288,20260726,429,2005,1.09
Youngseo,individual,2883,180,20260728,234,1203,0.94
Yoon Jae-chan,individual,2177,73,20260727,106,458,0.92
Baek Jun-hyuk,individual,5,0,20260715,1,2,0.5
Jang Yong-hoon,individual,4,0,20260717,1,2,1
Hanroro,individual,2470,82,20260803,128,705,1.18
Ejae,individual,52653,1755,20260720,3190,9532,0.74
Tarzzan,individual,4628,154,20260727,198,1064,1.03
Min Jiwoon,individual,212,10,20260716,56,40,0.31
Minos (rapper),individual,87,3,20260717,8,17,0.94
Jerry.K,individual,218,7,20260713,17,36,0.65
Primary (musician),individual,636,21,20260724,37,177,1.72
Justhis,individual,545,18,20260805,63,167,1.27
Kim Jin-pyo (musician),individual,324,11,20260718,15,85,1.15
"Kim Min-jae (actor, born 1996)",individual,10823,361,20260724,536,2270,0.85
Black Nut,individual,231,8,20260727,14,56,1.3
Iron (rapper),individual,1125,38,20260804,55,301,1.14
Zizo (rapper),individual,113,4,20260723,11,21,0.66
Blue (rapper),individual,5,0,20260717,1,1,0.25
Red (rapper),individual,6,0,20260722,2,4,2
Ugly Duck,individual,161,5,20260716,25,30,1.3
Code Kunst,individual,1844,61,20260712,81,442,0.95
Hanhae,individual,1206,40,20260726,58,284,0.98
Nucksal,individual,480,16,20260716,30,94,0.75
Woodz,individual,12025,401,20260717,725,2589,1.1
Masta Wu,individual,387,13,20260714,21,87,0.93
Tiger JK,individual,3393,113,20260801,243,1141,1.63
Tymee,individual,221,7,20260724,24,51,1.13
Kang Chun-hyok,individual,232,8,20260717,23,39,0.53
MLMA,individual,395,13,20260722,38,83,2.52
Mirani (rapper),individual,531,18,20260731,59,159,1.45
Khundi Panda,individual,71,2,20260805,8,21,1.62
Sokodomo,individual,275,9,20260720,26,57,0.8
Yang Hong-won,individual,458,15,20260724,34,77,0.62
Sik-K,individual,1322,44,20260726,68,288,0.84
Haon (rapper),individual,1758,59,20260708,82,361,0.76
Kid Milli,individual,505,17,20260708,29,106,0.82
Noel (rapper),individual,263,9,20260806,21,74,1.35
Ja Mezz,individual,43,1,20260803,4,9,0.6
Be'O,individual,676,23,20260803,37,209,1.22
Since (rapper),individual,182,6,20260803,14,50,1.16
Jin Dogg,individual,316,11,20260713,17,58,0.81
Jo Gwang-il,individual,179,6,20260708,10,44,1.22
Swervy,individual,182,6,20260723,14,47,1.27
Soul (Japanese singer),individual,337,18,20260728,30,49,0.3
Kyung Wha Chung,individual,934,31,20260802,56,261,1.15
Yeol Eum Son,individual,2269,76,20260717,97,553,1.02
Jin Hee-kyung,individual,1265,42,20260725,58,296,1.03
Myung-whun Chung,individual,1025,34,20260710,50,260,0.99
Yiruma,individual,4198,140,20260727,180,981,0.94
Han-na Chang,individual,609,20,20260724,43,115,1.04
Sungha Jung,individual,971,32,20260718,55,231,1.03
Towa Tei,individual,6706,224,20260725,705,1553,1.48
Shi-Yeon Sung,individual,98,3,20260804,13,33,1.83
Ji Hyun-woo,individual,10905,364,20260713,683,2084,0.6
Sunwook Kim,individual,391,13,20260728,22,104,1.27
Dong-Hyek Lim,individual,394,13,20260718,24,79,0.95
Young-Chang Cho,individual,84,3,20260804,12,27,1.04
Park Sol-mi,individual,1365,46,20260723,83,279,1.06
Soyoung Yoon,individual,390,13,20260727,24,105,1.24
Kim Duk-soo,individual,115,4,20260719,10,27,1.35
Seong-Jin Cho,individual,3246,108,20260728,293,630,0.78
Kim Jin-hi,individual,181,6,20260716,15,48,1.66
Kun-Woo Paik,individual,395,13,20260709,21,73,0.7
Sang Won Park,individual,37,1,20260731,4,11,2.2
Oh Jeong-suk,individual,53,2,20260722,8,9,0.69
Soo Bae,individual,141,5,20260804,51,77,2.85
Su-a Lee,individual,116,4,20260721,9,18,0.64
The Black Skirts,individual,1432,48,20260713,72,310,0.74
Kwak Dong-yeon,individual,32502,1083,20260719,3392,4987,1.8
Simon Jul,individual,173,6,20260727,12,42,1.24
Yung Wook Yoo,individual,62,2,20260805,9,22,2.2
Lee Saengkang,individual,19,1,20260711,2,7,2.33
Yi Haegyeong,individual,742,25,20260806,74,282,2.47
Shin Daechul,individual,244,8,20260714,17,57,0.8
Jin Bora,individual,81,3,20260729,7,14,0.64
Han Terra,individual,128,4,20260715,11,19,0.76
Kim Cheon-heung,individual,13,0,20260718,2,5,
Jasmine Choi,individual,1042,35,20260708,221,191,0.44
Jo Bok-rae,individual,13208,440,20260726,938,2148,0.61
Kevin Kwan Loucks,individual,114,4,20260710,10,24,0.71
Hai-Kyung Suh,individual,236,8,20260714,17,45,0.65
Mowg (composer),individual,417,14,20260708,21,100,0.97
Lim Ji-young,individual,151,5,20260731,12,45,1.25
JinJoo Lee,individual,4483,149,20260710,348,1101,0.92
Jiyeong Mun,individual,239,8,20260709,37,47,0.47
Hyo-Won Woo,individual,79,3,20260728,9,14,0.56
Yekwon Sunwoo,individual,457,15,20260718,30,111,1.63
Choi Nakta,individual,42,1,20260713,5,15,1.5
Soo Jung Ann,individual,60,2,20260710,6,13,0.68
Mid-Air Thief,individual,1395,47,20260710,71,280,0.67
Kim Dong-hee (actor),individual,2571,86,20260805,112,669,1.17
Hiss (beatboxer),individual,216,7,20260803,15,47,0.9
Mikyung Sung,individual,183,6,20260709,10,46,1
Cho Su-Hwang,individual,101,3,20260718,23,12,0.4
LilyPichu,individual,18024,601,20260806,8100,10177,4.91
Greg Chun,individual,4579,153,20260801,261,1367,1.47
Jegal Sam,individual,55,2,20260803,6,18,1.38
Kim Joon-seok,individual,1030,34,20260718,86,189,1.63
Kirara (musician),individual,851,28,20260727,78,119,0.55
Kim Changhyun,individual,29,1,20260803,4,11,1.57
Brokenteeth,individual,157,5,20260804,11,40,1.18
250 (musician),individual,1035,35,20260722,58,206,0.83
Kim Hea Kyung,individual,4884,163,20260709,328,1018,0.63
Lee Ha-na,individual,2741,91,20260711,121,579,0.84
Kenzie (songwriter),individual,3130,104,20260722,182,788,1.14
Younghi Pagh-Paan,individual,59,2,20260712,4,10,0.83
Ha Sebin,individual,33,1,20260708,4,5,0.36
Okkyung Lee,individual,190,6,20260724,12,50,1.04
Sungji Hong,individual,46,2,20260722,6,5,0.56
Chan-hae Lee,individual,17,1,20260727,3,4,2
Hi Kyung Kim,individual,56,2,20260724,6,11,1
Rainstone,individual,169,6,20260710,10,48,1.66
Insook Choi,individual,25,1,20260719,6,6,0.6
Kyungsun Suh,individual,29,1,20260712,3,0,0
Djong Victorin Yu,individual,19,1,20260722,4,7,2.33
Lim Jun-hee,individual,21,1,20260725,3,4,0.8
DaeSeob Han,individual,13,1,20260708,2,2,0.4
Oh Sook-ja,individual,16,1,20260712,2,2,0.67
Justine Ok,individual,37,1,20260709,7,4,0.27
Misfit (songwriter),individual,75,3,20260712,8,14,0.54
Young-hu Kim,individual,238,8,20260717,15,57,1
Hue Park,individual,1101,37,20260802,59,299,1.4
Alan Heyman,individual,82,3,20260710,10,16,0.67
Yoon Il-sang,individual,116,4,20260725,10,24,1.6
Young-ja Lee (composer),individual,49,2,20260714,5,8,0.5
Shinsadong Tiger,individual,1419,47,20260805,72,353,1.34
Jeajoon Ryu,individual,39,1,20260709,3,5,0.38
Ryan S. Jhun,individual,1023,34,20260713,93,213,0.66
Wuno,individual,385,13,20260708,39,68,0.63
Jung Mina,individual,59,2,20260806,9,23,3.29
Pdogg,individual,3183,106,20260730,135,825,1.16
Raiden (DJ),individual,695,23,20260713,189,69,0.16
Lee Hwi-min,individual,914,30,20260717,50,200,1.04
R.Tee,individual,769,26,20260714,97,130,0.47
