wikidata_q,name,born,kind,is_group,schools,school_count,wikipedia_editions,label_has_hangul
Q1279627,Kim Tai-chung,1957-06-05,acting,no,,0,13,no
Q1580046,Kim Yong-gun,1946-05-08,acting,no,Yonsei University | Yongsan High School,2,9,no
Q15650508,Gi Ju-bong,1955-09-03,acting,no,Seorabeol Art College | Sorabol High School | Sorabol Middle school,3,7,no
Q15711594,Kim Hi-ra,1947-03-23,acting,no,Dongguk University,1,4,no
Q484960,Kim Mu-saeng,1943-03-16,acting,no,Dongguk University,1,5,no
Q484999,Lee Jung-gil,1944-10-01,acting,no,Seorabeol Art College,1,9,no
Q485170,Lee Deok-hwa,1952-05-08,acting,no,Dongguk University,1,11,no
Q2813764,Jeong Han-yong,1954-06-22,acting,no,New York University | Sogang University,2,7,no
Q3196702,Kim Dong-ho,1937-08-06,acting,no,,0,2,no
Q3196715,Kim Duk-soo,1952-09-23,music,no,,0,5,no
Q3543902,Koichi Iwaki,1951-03-21,acting,no,,0,6,no
Q493813,Lee Hee-do,1955-10-01,acting,no,Seoul Institute of the Arts,1,6,no
Q494290,Shin Jung-hyeon,1938-11-04,music,no,Sorabol High School,1,10,no
Q494352,Hwang In-shik,1940-09-13,acting,no,,0,10,no
Q16178395,Kim Jeong-gu,1916-07-15,music,no,,0,1,no
Q16178486,Kim Jung Mi,1953-04-23,music,no,,0,3,no
Q16179205,Lee Seung-gyu,1950-01-19,music,yes,University of Southern California,1,1,no
Q16179471,Tae.1,1946-01-06,music,no,,0,1,no
Q16179508,Baek In-chul,1947-05-23,acting,no,Kyung Hee University,1,1,no
Q16180144,Hong Yoon-jeong,1944-08-15,acting,no,,0,1,no
Q16180444,Kim Cheon-heong,1909-03-30,music,no,,0,2,no
Q16180502,Go Seol-bong,1913-04-10,acting,no,Posung High School,1,1,no
Q16180574,고운봉,1920-02-09,music,no,Kongju National University,1,1,yes
Q16180602,리나 박,1940-06-13,music,no,,0,1,yes
Q16180642,고종익,1915-01-17,music,no,,0,1,yes
Q16180645,Hong Hwa-ja,1943-11-22,music,yes,Daegu Namsan Elementary School,1,1,no
Q16180817,Park Il-jun,1954-05-31,music,no,,0,1,no
Q16181019,김태화,1950-10-04,music,no,Songdo High School,1,1,yes
Q16181460,Shin Kuk,1947-12-14,acting,no,,0,3,no
Q16181671,Jo Mi-ryeong,1929-02-04,acting,no,,0,6,no
Q12600808,Seo Gwon-Soon,1951-10-14,acting,no,Chung-Ang University,1,2,no
Q12601003,서수남,1943-02-25,music,no,Seoul Technical High School,1,1,yes
Q12601012,Seo Seung-hyeon,1943-03-05,acting,no,Yonsei University,1,1,no
Q12601568,Seok Geum-seong,1907-12-03,both,no,Jinmyeong Girls' High School,1,1,no
Q12601671,Seon Dong-hyeok,1955-10-17,both,no,,0,1,no
Q12601728,Sunwoo Yong-nyeo,1945-08-15,acting,no,Seorabeol Art College,1,9,no
Q12602469,소명 (가수),1958-12-30,music,no,Namwon High School,1,1,yes
Q12602839,Song Ki-yoon,1952-07-14,acting,no,Chungbuk National University,1,1,no
Q16068586,Jeon Gye-hyeon,1936-09-28,acting,no,Gongju National University of Education,1,1,no
Q12596905,박영태 (배우),1946-12-17,acting,no,Chung-Ang University,1,1,yes
Q12596916,Park Ye-sook,1936-11-16,acting,no,,0,1,no
Q12596959,Park Woong,1940-09-23,acting,no,Dong-A University,1,1,no
Q12596977,Park Yoon-bae,1947-09-19,acting,no,Chung-Ang University | Sorabol High School,2,1,no
Q12597139,Park Joo-ah,1942-09-20,acting,no,,0,1,no
Q12611480,Lee Bae-guk,1958-06-04,acting,no,,0,1,no
Q12611577,이봉룡,1914-08-03,music,no,,0,1,yes
Q12611651,Lee Sang-yong,1944-04-02,acting,no,Korea University,1,2,no
Q12611691,Yi Saenggang,1937-03-16,music,no,,0,2,no
Q12611706,Lee Seok-goo,1950-11-06,acting,no,,0,1,no
Q12611775,이성미 (희극인),1959-12-25,music,no,Seoul Institute of the Arts,1,1,yes
Q12611785,Lee Seong-yong,1956-08-23,acting,no,Korea University,1,1,no
Q12611800,Lee Seong-ho,1949-05-15,acting,no,Korea National Open University,1,1,no
Q12611860,Lee Sook,1956-03-27,both,no,Myongji University,1,2,no
Q12611967,Lee Sin-jae,1943-05-21,acting,no,Dongguk University,1,2,no
Q12611988,이애숙,1959-03-14,music,yes,Lila Elementary School,1,1,yes
Q12612098,Lee Young-ha,1950-01-17,acting,no,Korea University | Chung-Ang University,2,4,no
Q8731670,Im Hyun-sik,1945-12-31,acting,no,Hanyang University | Salesian High School,2,8,no
Q10822153,Sunwoo Eun-sook,1959-12-24,acting,no,Korea University | Seoul Institute of the Arts,2,10,no
Q10855129,Minoru Obata,1923-04-30,music,no,Nihon Ongaku Gakkō,1,2,no
Q10855784,Kumiko Kin,1958-10-11,acting,no,Tokyo Keizai University,1,2,no
Q10855848,Kim Yon-ja,1959-01-25,music,no,Gwangju Supia Girls’ High School,1,7,no
Q16091735,Jeong Jong-jun,1956-03-03,acting,no,Chung-Ang University,1,1,no
Q16091752,Jeong Jin-gak,1953-05-11,acting,no,Daegwang High School,1,1,no
Q16091795,Jeong Hyun,1945-09-14,acting,no,Chung-Ang University,1,1,no
Q16091964,조하문,1959-12-24,music,no,Yonsei University,1,1,yes
Q16092589,홍서범,1958-12-07,music,no,Konkuk University,1,1,yes
Q16093046,Hyun Mee,1938-01-28,music,no,Duksung Women's University,1,1,no
Q16093283,Kang In-won,1956-01-06,music,no,Paichai High School,1,1,no
Q16097986,Jo Geung-ha,1919-08-16,music,no,Kyeongbuk High School,1,1,no
Q16098022,주찬권,1955-03-18,music,no,,0,1,yes
Q16166254,Won Po-ra,1952-07-28,acting,no,,0,1,no
Q16166552,임혁주,1955-06-23,acting,no,Dongguk University,1,1,yes
Q16168084,위일청,1955-02-01,music,no,Kyonggi University,1,1,yes
Q16168872,Moon Mi-bong,1932-03-05,acting,no,,0,1,no
Q16168886,An Dae-uk,1957-11-14,acting,no,,0,1,no
Q12588642,Kim Jong-gyeol,1944-05-02,acting,no,Yonsei University,1,1,no
Q12588808,Kim Ji-young,1938-09-25,acting,no,,0,9,no
Q12588885,Kim Jin-tae,1951-03-24,acting,no,Chung-Ang University,1,4,no
Q12588914,Kim Chang-nam,1957-10-18,music,no,Mapo High School,1,1,no
Q12588995,Kim Choo-ja,1951-01-02,both,no,Dongguk University,1,2,no
Q12588993,Kim Churyeon,1946-01-01,both,no,Hanyang University,1,1,no
Q12589124,김학래 (가수),1957-08-12,music,no,Myongji University,1,1,yes
Q12589146,Kim Han,1909-04-25,acting,no,,0,1,no
Q12589148,Kim Hak-chul,1959-08-20,acting,no,Seoul Institute of the Arts,1,2,no
Q12593129,Dokgo Seong,1929-04-29,acting,no,Seorabeol Art College,1,1,no
Q12595139,Myeong Gye-nam,1952-07-26,acting,no,Yonsei University,1,3,no
Q12595795,Moon Jeong-suk,1927-03-29,both,no,,0,2,no
Q12595807,Moon Ju-ran,1949-09-30,music,no,,0,2,no
Q12596516,Ki-hi Pak,1921-02-06,acting,no,Busan Girls' High School,1,1,no
Q12596673,Park Byeong-ho,1937-07-28,acting,no,,0,1,no
Q12596692,박상규 (가수),1942-07-20,music,no,Incheon High School,1,1,yes
Q12596709,Park Sang-won,1959-04-05,acting,no,Seoul Institute of the Arts | Sangmyung University | Dongsan High School | Daegu Suchang Elementary School,4,10,no
Q12616199,Chung Hoon-hee,1952-05-11,music,no,,0,1,no
Q12616622,Jo Deok-bae,1959-08-21,music,no,,0,2,no
Q12616625,Jo Deok Hwan,1953-09-28,music,yes,,0,1,no
Q12616638,조동진,1947-09-03,music,no,Seorabeol Art College,1,2,yes
Q12616707,Jo Sang-geon,1946-01-09,acting,no,,0,1,no
