name,slug,wikipedia_page,born,charting_titles,chart_places,countries
Kang Ha-neul,kang-ha-neul,Kang Ha-neul,1990-02-21,6,572,81
Kim Da-mi,kim-da-mi,Kim Da-mi,1995-04-09,4,566,93
Kim Ji-won,kim-ji-won,Kim Ji-won,1992-10-19,5,554,46
Jung Kyung-ho,jung-kyung-ho,Jung Kyung-ho,1983-08-31,7,552,39
Shin Hae-sun,shin-hae-sun,Shin Hye-sun,1989-08-31,8,550,65
Kang Ki-young,kang-ki-young,Kang Ki-young,1983-10-14,6,549,57
Esom,esom,Esom,1990-01-30,5,547,89
Joo Jong-hyuk,joo-jong-hyuk,"Joo Jong-hyuk (actor, born 1991)",1991-07-27,2,544,57
Shin Min-a,shin-min-a,Shin Min-a,1984-04-05,4,542,40
Go Won-hee,go-won-hee,Go Won-hee,1994-09-12,2,540,60
Park Gyu-young,park-gyu-young,Park Gyu-young,1993-07-27,6,540,65
Chae Soo-bin,chae-soo-bin,Chae Soo-bin,1994-07-10,4,536,76
Lee Deok-hwa,lee-deok-hwa,Lee Deok-hwa,1952-05-08,3,535,58
Kim Ga-eun,kim-ga-eun,Kim Ga-eun,1989-01-08,2,529,55
Joo Hyun-young,joo-hyun-young,Joo Hyun-young,1996-01-14,2,524,57
Choi Jin-hyuk,choi-jin-hyuk,Choi Jin-hyuk,1986-02-09,4,523,43
Jang Ki-Yong,jang-ki-yong,Jang Ki-yong,1992-08-07,3,523,52
So Ji-sub,so-ji-sub,So Ji-sub,1977-11-04,4,523,81
Roh Yoon-seo,roh-yoon-seo,Roh Yoon-seo,2000-01-25,3,522,81
Choi Gwi-hwa,choi-gwi-hwa,Choi Gwi-hwa,,4,521,79
Jung Chae-yeon,jung-chae-yeon,Jung Chae-yeon,1997-12-01,2,513,53
Cha Mi-kyung,cha-mi-kyung,Cha Mi-kyung,1965-07-25,2,509,55
Park Jin-woo,park-jin-woo,Park Jin-woo,,3,508,81
Seo Hye-won,seo-hye-won,Seo Hye-won,1993-11-04,2,504,58
Seol In-ah,seol-in-ah,Seol In-ah,1996-01-03,2,500,58
Chun Woo-hee,chun-woo-hee,Chun Woo-hee,1987-04-20,6,496,77
Jang Seung-jo,jang-seung-jo,Jang Seung-jo,1981-12-13,2,494,71
Kim Yeo-jin,kim-yeo-jin,Kim Yeo-jin,,2,494,53
Park Ji-hoon,park-ji-hoon,Park Ji-hoon,,4,488,89
Kim Go-eun,kim-go-eun,Kim Go-eun,1991-07-02,8,480,82
Ong Seongwu,ong-seongwu,Ong Seong-wu,1995-08-25,3,480,51
Kim Kwang-kyu,kim-kwang-kyu,Kim Kwang-kyu (actor),,2,467,58
Jang Yoon-ju,jang-yoon-ju,Jang Yoon-ju,1980-11-07,4,465,89
Kim Hyeon-sook,kim-hyeon-sook,Kim Hyun-sook,1978-10-16,2,465,58
Kim Soo-hyun,kim-soo-hyun,Kim Soo-hyun,1988-02-16,7,465,46
Claudia Kim,claudia-kim,Claudia Kim,1985-01-25,3,458,69
Jeon Jong-seo,jeon-jong-seo,Jeon Jong-seo,1994-07-05,4,457,89
Yoo Jae-myung,yoo-jae-myung,Yoo Jae-myung,1973-06-03,8,456,64
Jeon So-nee,jeon-so-nee,Jeon So-nee,1991-03-20,6,455,84
Yoon Park,yoon-park,Yoon Park,1987-11-18,4,450,47
Na Young-hee,na-young-hee,Na Young-hee,1961-03-03,3,447,47
Bae Yoon-kyung,bae-yoon-kyung,Bae Yoon-kyung,1993-01-22,3,444,39
Kim Bum,kim-bum,Kim Bum,1989-07-07,5,442,48
Yoo Su-bin,yoo-su-bin,Yoo Su-bin,1992-11-06,3,436,54
Park Hyung-soo,park-hyung-soo,Park Hyung-soo,1980-12-03,2,428,89
Park Seo-joon,park-seo-joon,Park Seo-joon,1988-12-16,8,423,69
Nam Kyung-eup,nam-kyung-eup,Nam Kyung-eup,1958-03-12,3,422,79
Park Myung-hoon,park-myung-hoon,Park Myung-hoon,1975-05-28,5,421,77
Ha Young,ha-young,Ha Young (actress),1993-08-11,3,419,71
Byeon Woo-seok,byeon-woo-seok,Byeon Woo-seok,1991-10-31,4,413,52
Park Bo-gum,park-bo-gum,Park Bo-gum,1990-06-16,4,413,43
Lee Joo-young,lee-joo-young,"Lee Joo-young (actress, born 1987)",,4,410,75
Ko Kyu-pil,ko-kyu-pil,Ko Kyu-pil,1982-05-02,6,407,51
Jun Suk-ho,jun-suk-ho,Jeon Seok-ho,1984-05-02,4,402,53
IU,iu,IU (entertainer),1993-05-16,5,401,45
Kim Jung-hyun,kim-jung-hyun,"Kim Jung-hyun (actor, born 1990)",,3,401,43
Cha Chung-hwa,cha-chung-hwa,Cha Chung-hwa,1980-04-28,2,400,43
Im Chul-soo,im-chul-soo,Im Chul-soo,1984-08-22,2,400,17
Yang Kyung-won,yang-kyung-won,Yang Kyung-won,1981-04-01,2,400,17
Lee Seung-jun,lee-seung-jun,"Lee Seung-joon (actor, born 1973)",1973-02-11,4,399,53
Kim Mu-yeol,kim-mu-yeol,Kim Mu-yeol,1982-05-22,7,397,89
Yoon Ji-on,yoon-ji-on,Yoon Ji-on,1990-05-19,2,394,53
Kim Sung-kyun,kim-sung-kyun,Kim Sung-kyun,1980-07-05,7,392,89
Jin Seon-kyu,jin-seon-kyu,Jin Seon-kyu,1977-09-13,12,388,80
Yoo Ah-in,yoo-ah-in,Yoo Ah-in,1986-10-06,6,388,92
Kang Mi-na,kang-mi-na,Kang Mi-na,1999-12-04,3,387,69
Kim Yoon-hye,kim-yoon-hye,Kim Yoon-hye,1991-05-24,4,387,40
Park Byeong-eun,park-byeong-eun,Park Byung-eun,1977-07-14,10,384,76
Park So-yi,park-so-yi,Park So-yi,2012-03-12,3,383,89
Cha Seung-won,cha-seung-won,Cha Seung-won,1970-06-07,7,382,77
Kim Kum-soon,kim-kum-soon,Kim Kum-soon,1973-08-21,2,376,53
Kim Sang-ho,kim-sang-ho,Kim Sang-ho (actor),1970-07-24,5,374,49
Park Ji-young,park-ji-young,Park Ji-young (actress),1949-08-26,3,374,53
Ju Ji-hoon,ju-ji-hoon,Ju Ji-hoon,1982-05-16,6,372,64
Park Shin-hye,park-shin-hye,Park Shin-hye,1990-02-18,5,370,47
Lee Seung-hyub,lee-seung-hyub,Lee Seung-hyub,1992-10-31,2,369,53
Lee Hak-joo,lee-hak-joo,Lee Hak-joo,1989-01-09,3,364,53
Jo Woo-jin,jo-woo-jin,Jo Woo-jin (actor),1979-01-16,12,359,84
Park Jin-young,park-jin-young,Park Jin-young,1994-09-22,7,357,66
Kim Si-a,kim-si-a,Kim Si-a,2008-05-06,3,350,91
Son Seok-koo,son-seok-koo,Son Suk-ku,1983-02-07,6,345,48
Ma Dong-seok,ma-dong-seok,Ma Dong-seok,1971-03-01,17,344,89
Lee El,lee-el,Lee El,1982-08-26,8,342,63
Kim Won-hae,kim-won-hae,Kim Won-hae,,3,339,72
Choi Woo-shik,choi-woo-shik,Choi Woo-shik,1990-03-26,8,338,48
Jeon Mi-do,jeon-mi-do,Jeon Mi-do,1982-08-04,4,338,16
Choi Gwang-il,choi-gwang-il,Choi Gwang-il,,3,335,52
Seo Jeong-yeon,seo-jeong-yeon,Seo Jeong-yeon,1975-11-30,3,334,52
Lee Hee-joon,lee-hee-joon,Lee Hee-jun,1979-06-29,6,332,89
Hyun Bin,hyun-bin,Hyun Bin,1982-09-25,7,330,55
Lee Si-young,lee-si-young,Lee Si-young,1982-04-17,2,323,42
Ryu Jun-yeol,ryu-jun-yeol,Ryu Jun-yeol,1986-09-25,5,321,74
Bae Suzy,bae-suzy,Bae Suzy,1994-10-10,5,320,51
Kim Hye-soo,kim-hye-soo,Kim Hye-soo,1970-09-05,7,318,35
Lee Moo-saeng,lee-moo-saeng,Lee Moo-saeng,1980-05-10,4,316,91
Nam Ji-hyun,nam-ji-hyun,Nam Ji-hyun,,4,315,72
Jeon Yeo-been,jeon-yeo-been,Jeon Yeo-been,1989-07-26,6,308,44
Son Ye-jin,son-ye-jin,Son Ye-jin,1982-01-11,6,308,16
Jun,jun,Lee Jun-young,1997-01-22,3,305,89
Jeong Jin-yeong,jeong-jin-yeong,Jung Jin-young (actor),1964-10-16,6,297,66
Kim Gyu-ri,kim-gyu-ri,"Kim Gyu-ri (actress, born August 1979)",,2,296,91
Kim Sung-oh,kim-sung-oh,Kim Sung-oh,1978-09-15,8,296,77
Lee Bong-ryun,lee-bong-ryun,Lee Bong-ryun,1981-02-07,2,296,34
Park Bo-young,park-bo-young,Park Bo-young,1990-02-12,6,294,42
Hong Seo Joon,hong-seo-joon,Hong Seo Joon,,2,293,53
Yang Se-jong,yang-se-jong,Yang Se-jong,1992-12-23,4,293,49
Kim Do-wan,kim-do-wan,Kim Do-wan,1995-03-08,3,289,48
Cho Jung-seok,cho-jung-seok,Jo Jung-suk,1980-12-26,7,288,23
Kim Hye-jun,kim-hye-jun,Kim Hye-jun,1995-05-08,5,288,54
Kim Min-ho,kim-min-ho,Kim Min-ho,1990-01-09,2,288,48
Park Hyung-sik,park-hyung-sik,Park Hyung-sik,1991-11-16,2,288,47
Song Joong-ki,song-joong-ki,Song Joong-ki,1985-09-19,7,285,33
Yoon Yu-seon,yoon-yu-seon,Yoon Yoo-sun,1969-01-17,3,285,53
Kang You-seok,kang-you-seok,Kang You-seok,1994-06-10,3,283,79
Choo Young-woo,choo-young-woo,Choo Young-woo,1999-06-05,3,282,64
Kim Do-yoon,kim-do-yoon,Kim Do-yoon,1981-06-27,3,281,92
Shin Hyun-seung,shin-hyun-seung,Shin Hyun-seung,1976-02-04,2,277,65
Won Jin-ah,won-jin-ah,Won Jin-ah,1991-03-29,2,276,92
Yim Si-wan,yim-si-wan,Yim Si-wan,1988-12-01,4,275,72
Lee Re,lee-re,Lee Re,2006-03-12,3,274,92
Kim Gi-bang,kim-gi-bang,Kim Ki-bang,1981-05-31,2,273,80
Im Hyeong-guk,im-hyeong-guk,Im Hyeong-guk,,2,272,92
Han So-hee,han-so-hee,Han So-hee,1993-11-18,4,270,69
Lee Joon-hyuk,lee-joon-hyuk,"Lee Joon-hyuk (actor, born 1984)",1984-03-13,5,269,65
Chae Won-bin,chae-won-bin,Chae Won-bin,2001-04-05,3,267,47
Han Ji-min,han-ji-min,Han Ji-min,1982-11-05,3,267,22
Yang Ik-june,yang-ik-june,Yang Ik-june,,3,267,92
Kim Han-na,kim-han-na,Kim Han-na,,3,264,48
Lee Jeong-hyeon,lee-jeong-hyeon,Lee Jung-hyun,1980-02-07,3,264,84
Yunjin Kim,yunjin-kim,Yunjin Kim,1973-11-07,6,264,80
Kim Nam-hee,kim-nam-hee,Kim Nam-hee,1986-05-25,2,260,42
Kim Yoon-woo,kim-yoon-woo,Kim Yoon-woo,,2,260,69
Jo Woo-ri,jo-woo-ri,Jo Woo-ri,1992-03-29,3,259,46
Lee Hyun-woo,lee-hyun-woo,"Lee Hyun-woo (actor, born 1993)",,3,258,77
Oh Jung-se,oh-jung-se,Oh Jung-se,1977-02-26,9,256,52
Bae Doona,bae-doona,Bae Doona,1979-10-11,6,255,76
Kil Hae-yeon,kil-hae-yeon,Gil Hae-yeon,,4,255,81
Lee Sang-jin,lee-sang-jin,Lee Sang-jin,1992-01-13,2,255,79
Park Ah-in,park-ah-in,Park Ah-in,1985-02-12,2,255,46
Lee Shin-young,lee-shin-young,Lee Shin-young,1998-01-24,4,250,24
Kim Jung-eun,kim-jung-eun,Kim Jung-eun,1974-03-04,2,246,46
Cho Bo-ah,cho-bo-ah,Jo Bo-ah,1991-08-22,4,245,54
Kang Hyung-suk,kang-hyung-suk,Kang Hyung-seok,1992-01-01,2,245,89
Shin Jae-ha,shin-jae-ha,Shin Jae-ha,1993-04-02,2,244,34
Shin Se-hwi,shin-se-hwi,Shin Se-hwi,,2,243,89
Bae Hae-sun,bae-hae-sun,Bae Hae-sun,1974-05-08,2,240,34
Gong Myoung,gong-myoung,Gong Myung,1994-05-26,4,240,62
Ahn Bo-hyun,ahn-bo-hyun,Ahn Bo-hyun,1988-05-16,4,238,35
Ro Woon,ro-woon,Rowoon,1996-08-07,3,238,34
Uhm Ji-won,uhm-ji-won,Uhm Ji-won,1977-12-25,2,238,88
Seo Hyun-woo,seo-hyun-woo,Seo Hyun-woo,1983-11-20,8,235,62
Shin Dong-mi,shin-dong-mi,Shin Dong-mi,1977-09-13,2,235,46
Kim Yeong-min,kim-yeong-min,Kim Young-min (actor),,4,231,14
Jang Hye-jin,jang-hye-jin,Jang Hye-jin,,5,229,11
Lee Yeon,lee-yeon,Lee Yeon,1995-02-27,2,229,84
Kim Dae-myung,kim-dae-myung,Kim Dae-myung,1980-12-16,3,227,11
Han Hyo-joo,han-hyo-joo,Han Hyo-joo,1987-02-22,2,226,70
Jeong Jaekwang,jeong-jaekwang,Jung Jae-kwang,1990-11-29,3,225,63
Hur Jung-do,hur-jung-do,Hur Jung-do,1980-12-24,2,224,34
Ji Jin-hee,ji-jin-hee,Ji Jin-hee,1971-06-24,3,223,37
Ahn Suk-hwan,ahn-suk-hwan,Ahn Suk-hwan,1959-11-01,2,222,28
Yoon Byung-hee,yoon-byung-hee,Yoon Byung-hee,1981-12-07,3,221,17
Lee Seong-uk,lee-seong-uk,Lee Sung-wook,1979-10-03,4,220,79
Choi Deok-mun,choi-deok-mun,Choi Deok-moon,,4,218,17
Seo In-guk,seo-in-guk,Seo In-guk,1987-10-23,3,218,47
Lee Jae-won,lee-jae-won,Lee Jae-won,,2,216,44
Yu Ji-tae,yu-ji-tae,Yoo Ji-tae,1976-04-13,3,216,79
Park Soo-young,park-soo-young,Park Soo-young,,2,215,77
Kim In-gwon,kim-in-gwon,Kim In-kwon,1978-01-20,2,214,43
Ok Taec-yeon,ok-taec-yeon,Ok Taec-yeon,1988-12-27,2,214,18
